"Age","Germany_Levin1","Germany_Levin2","Germany_Levin3","Germany_PrItaly","Spain_Levin1","Spain_Levin2","Spain_Levin3","Spain_PrItaly","Italy_Levin1","Italy_Levin2","Italy_Levin3","Italy_PrItaly","France_Levin1","France_Levin2","France_Levin3","France_PrItaly","Sweden_Levin1","Sweden_Levin2","Sweden_Levin3","Sweden_PrItaly","China_Levin1","China_Levin2","China_Levin3","China_PrItaly","Japan_Levin1","Japan_Levin2","Japan_Levin3","Japan_PrItaly","Colombia_Levin1","Colombia_Levin2","Colombia_Levin3","Colombia_PrItaly","Brazil_Levin1","Brazil_Levin2","Brazil_Levin3","Brazil_PrItaly","USA_Levin1","USA_Levin2","USA_Levin3","USA_PrItaly","Brazil_Deaths","China_Deaths","Colombia_Deaths","France_Deaths","Germany_Deaths","Italy_Deaths","Spain_Deaths","Sweden_Deaths","China_Cases","Colombia_Cases","Germany_Cases","Italy_Cases","Japan_Cases","Spain_Cases","Sweden_Cases","USA_Cases","Colombia_NewCases","Germany_NewCases","Italy_NewCases","Japan_NewCases","Spain_NewCases","Sweden_NewCases","USA_NewCases"
0,0.0573283794532059,0.0484422045297581,0.0700689878411814,0.0432655540655528,0.049677013350348,0.0425645436104366,0.0595395344322761,0.0380909872967335,0.0457312433966907,0.0384489532800762,0.0562827308303758,0.0342389121651863,0.0644867128008663,0.0554587441227308,0.0768669997965255,0.0501656542433008,0.0689051824820391,0.0595538093347341,0.0815740940996458,0.0540913699833232,0.0655361822980856,0.0583137988242526,0.0747805247238999,0.0529324978940155,0.0454631776828158,0.0377815846171151,0.0568484564180496,0.03379398685993,0.07936210758281,0.0729262712388708,0.0870221250291604,0.0679906423521762,0.0745113931928455,0.0680990461353795,0.0822353356502254,0.0631236075568231,0.067767154341163,0.0594446364049772,0.0786996957412516,0.0542349057059335,0.000464499507463817,0,0.0010497900419916,4.67958857057288e-05,0.000107653055731987,4.48921186274235e-05,3.14378630636547e-05,0.000135708227311281,0.00497180554218647,0.0176678445229682,0.0168134248462566,0.00669083977000801,0.0107458325743207,0.00203599378087154,0.00187838940041089,0.0183315924653283,0.0149432362193954,0.029624345673314,0,0.0129362985299661,0.005570014350692,0.00392995588825024,0.0244277723899368
5,0.0539884935851123,0.0456200170569672,0.0659868486892556,0.0407449523325712,0.0560247554240604,0.048003452395448,0.0671475120918743,0.0429582638575742,0.0525300039374758,0.0441650722171351,0.0646501571471701,0.0393291338101312,0.0696082587981997,0.0598632872703402,0.0829717903500554,0.0541498192679125,0.0678799393562069,0.0586677056856585,0.0803603497017778,0.0532865422004971,0.0677246243278486,0.0602610646518787,0.0772776619933421,0.0547000665724093,0.0513905587770669,0.0427074578574931,0.0642602231045008,0.0381999665785152,0.0792071988324041,0.0727839247476617,0.0868522645118869,0.0678579298302075,0.0751637124415695,0.0686952276951429,0.0829552751127862,0.0636762310214206,0.0690374054156065,0.0605588873130673,0.0801748701682378,0.0552515036126197,0.00118739107372888,0,0.000449910017996401,9.35917714114575e-05,0,6.73381779411352e-05,6.6368822023271e-05,0.000203562340966921,0.00434053622075622,0.0180012000800053,0.0185653938403061,0.00873328112644953,0.0103493601077262,0.00192016230034507,0.00574865643716941,0.0182165817804007,0.0147038708794966,0.0417824960399467,4.69874026773462e-06,0.0139163211458726,0.00586189283195095,0.0105066167624649,0.0243246975173866
10,0.0538390522879279,0.0454937398805941,0.0658041956902479,0.0406321694389219,0.0623542252265997,0.0534267050282321,0.0747335898334763,0.0478115297361658,0.0562097585481091,0.0472588589283142,0.0691789349124187,0.0420841604734129,0.0711794778538895,0.0612145398274265,0.084844655155662,0.0553721056656022,0.0671238096623313,0.0580141931050462,0.0794651979500816,0.0526929715929821,0.065794098299257,0.0585432913164679,0.0750748216027532,0.0531408124114335,0.0529417265149005,0.0439965357031108,0.0661998475662254,0.0393529907361228,0.0828436726585478,0.0761255002762815,0.090839730187918,0.0709733484962049,0.0769170996775833,0.0702977208597715,0.0848904206214098,0.0651616431582575,0.0726341942443821,0.0637139527165171,0.0843519112321891,0.0581300589373828,0.00275441388194287,0.000293226468575897,0.0002999400119976,6.55142399880202e-05,0,0,8.73273973990408e-05,0,0.00433158204598416,0.0241150579629285,0.0236154797374121,0.0120735057222647,0.0132746839828695,0.00235538205438203,0.0157918349987113,0.0251706929958698,0.0217138558336753,0.0581157489483567,0,0.0190275160196005,0.00763748692627635,0.0260125651650849,0.0337096970765632
15,0.0581799970987483,0.0491618173386321,0.0711098682396855,0.0439082673192298,0.0558682928616111,0.0478693912449556,0.0669599865645522,0.0428382926057472,0.0565782926922991,0.0475687073172845,0.0696325002760219,0.0423600814249457,0.069257357187572,0.0595615109540911,0.0825535219524087,0.0538768450673741,0.0620056135905297,0.0535906060537049,0.0734059699944715,0.0486751281246888,0.064294226106973,0.0572087118183042,0.0733633818205633,0.0519293902797893,0.0542558111870741,0.045088588739574,0.0678430165883486,0.0403297847572996,0.090819152774363,0.0834542122258636,0.099585002320237,0.0778060553465802,0.0834831301496398,0.0762986878647183,0.0921370938699114,0.0707241687394331,0.0731625907253001,0.0641774565627567,0.0849655513161396,0.0585529412849824,0.00413351519284686,0.000684195093343759,0.0010122975404919,0.000126348891405468,0.000139948972451583,0,0.000153696219422312,0,0.00795802282866858,0.0398740032961262,0.0350866855335995,0.0202124457655103,0.0354449956959521,0.00502120951061625,0.0361688068568107,0.0483252656465724,0.0420599097250718,0.0819914609711834,0,0.0455333584621184,0.0142290759613747,0.0611415586151584,0.0640007442135451
20,0.064316765830431,0.0543473573606495,0.0786104670311689,0.0463333195165082,0.0563122691117264,0.04824980152298,0.0674921067031849,0.041216052398142,0.0578848046591176,0.0486671689780865,0.0712404613961088,0.0413683438076387,0.065858966474837,0.0566388859235887,0.0785027014518977,0.0489043809798612,0.0622989002596693,0.0538440897213363,0.073753180370887,0.0466823905918863,0.0680548989811769,0.0605549415457651,0.0776545242244461,0.0524683319852571,0.0570551781189444,0.0474149663489153,0.0713434249877533,0.0404828726697397,0.0945635472900757,0.0868949566616546,0.103690805172875,0.0773314797788337,0.0882911817631812,0.0806929652311933,0.0974435540140648,0.0713975108431221,0.0766612297381234,0.0672464259779771,0.0890286085375113,0.058564175801659,0.00450329620368265,0.00224806959241521,0.00397420515896821,0.000421162971351559,0.000290663250476365,0.00013467635588227,0.000415678411619434,0.000559796437659033,0.02391436227248,0.0916938322203936,0.0603732167013851,0.0373575927939261,0.12396551046723,0.0171370972034789,0.0684015871382828,0.0927478691254459,0.0974900834359185,0.120731796867624,0,0.119638145495665,0.0328606523484056,0.127148776901484,0.115723585605302
25,0.0681373922041645,0.0575757682453363,0.0832801860338723,0.0490856703264682,0.0589527870310695,0.0505122652371202,0.070656854279071,0.0431486991665745,0.0621816287175437,0.0522797623651075,0.0765286839315883,0.0444391409879468,0.065449082468393,0.0562863845904293,0.0780141271011284,0.048600016598189,0.0839927194373797,0.0725937617273328,0.0994356266432634,0.0629382046762842,0.0765118396814293,0.0680798891605052,0.087304376274834,0.058988385337525,0.0585162754132368,0.048629192319728,0.0731704227932434,0.0415195781480686,0.0946518557576203,0.0869761037916011,0.103787637159044,0.0774036960256638,0.0872644754111544,0.0797546158024931,0.0963104180216318,0.0705672549054662,0.0820911380679363,0.0720094845646355,0.0953344972473695,0.0627122713527002,0.00563537167538077,0.00459388134102238,0.00723605278944211,0.000851685119844263,0.000549030584233133,0.000286187256249825,0.000751015617631751,0.00113655640373198,0.0570985339777354,0.126556975143372,0.0850373050716639,0.0513395014115601,0.177566087673992,0.0405836032873996,0.102100168747461,0.120534521733306,0.130385720147723,0.136120931110808,0.00263599329019887,0.143158688277422,0.0544353367547976,0.18516241144232,0.132832393774537
30,0.0768657244520003,0.0649511669568675,0.0939482951271461,0.0553734959293823,0.0653750909545005,0.0560150605340207,0.0783541967679785,0.047849309161525,0.0662061537675424,0.0556634179171692,0.0814817803987965,0.0473153351275184,0.0702147567287222,0.0603848770999176,0.0836947249559179,0.0521388263021357,0.0793877750365724,0.0686137710943464,0.0939840168463804,0.0594875849658818,0.100522049738503,0.0894440655574136,0.114701396422153,0.0774995533969875,0.0645986419860224,0.0536838642334528,0.0807759877505363,0.0458352542990296,0.0867644488482349,0.0797283227892507,0.0951389390444153,0.0709535906161285,0.0882698605743913,0.0806734789143114,0.09742002264468,0.0713802692593374,0.0793949249453312,0.0696443947168797,0.0922033173348362,0.0606525405102603,0.0107175873304539,0.00811259896393315,0.011622675464907,0.00173612735968254,0.00107653055731987,0.000606043601470217,0.00107587353595618,0.00132315521628499,0.093562172193258,0.123567302147629,0.108833708182218,0.0476508460874797,0.109533555500788,0.0464603475199926,0.0861163583216045,0.091858848021081,0.122418273833949,0.137369265790385,0.028939541308975,0.0970674707877873,0.0635078928805974,0.126721026600722,0.0874126780796697
35,0.076700322033283,0.0648114027096719,0.093746133821061,0.0631478185802457,0.0819511611733669,0.0702178641273985,0.0982211621305633,0.0685504680299987,0.0714666275317062,0.0600862084421265,0.0879559938012274,0.0583712236430287,0.0724946730519316,0.0623456111875825,0.0864123441357544,0.0615220640574078,0.071872418704975,0.0621183511283489,0.0850868865797869,0.0615498381197642,0.0781534776758673,0.0695406112287283,0.0891775789290928,0.068861760119097,0.0729323319965086,0.0606094693132535,0.0911966718625871,0.0591409510595248,0.0802773374814871,0.0737672809583671,0.08802569276569,0.0750269812121175,0.0892013010546327,0.0815247609198989,0.0984480173881498,0.0824382714699161,0.0744468351572499,0.0653039822971567,0.0864569765801109,0.0649971690017779,0.0201682200500114,0.00948098915062066,0.0174340131973605,0.00306513051372523,0.00173321419728499,0.00130187144019528,0.00198757156480217,0.00189991518235793,0.0765671484758875,0.111244843223466,0.100736142348518,0.0449503347671177,0.0649482621290214,0.048968184243597,0.0705207413009146,0.0751929544301212,0.108569279168376,0.104031386700515,0.029790013297435,0.066762156049755,0.0768126869846518,0.0799358374548857,0.0670028809102742
40,0.0714672211532038,0.0603894576699629,0.0873500332259404,0.0588393763700034,0.0998703431719308,0.0855714804622235,0.119697891137547,0.0835394968018752,0.0824054464324521,0.069283118598399,0.101418706687741,0.0673056349409838,0.0702479621608579,0.0604134338596642,0.0837343052327589,0.0596154096021198,0.0697932911770275,0.0603213895657805,0.082625490520729,0.0597693225189075,0.0751728438773738,0.0668884567455217,0.0857765056342323,0.066235495802543,0.0805698146787418,0.0669565003156556,0.10074679843829,0.0653341986516838,0.0731676824302419,0.0672341803581731,0.0802298149894089,0.0683823169433577,0.0806175304614086,0.0736796977074771,0.0889744426013869,0.0745053018603552,0.0698965245516803,0.0613124976006612,0.0811725867651913,0.0610244372286128,0.0292430097749489,0.0121200273678037,0.0278569286142771,0.00437073572491507,0.00288510189361725,0.00278050559748604,0.00391576049937299,0.00266327396098388,0.0815747707171622,0.0904305901095161,0.0846700638211348,0.056321783743663,0.0623336869439116,0.0655865948908948,0.0741322127342286,0.0719033314948677,0.089249076733689,0.0756448854993862,0.0441211711140243,0.067304937806257,0.102254761267726,0.073065098248897,0.0656016460862665
45,0.0732189471789989,0.0618696577249973,0.0894910612956891,0.0602815825348121,0.0982914142532005,0.0842186135266631,0.117805492895731,0.0822187550965064,0.0950748846777571,0.0799350624992681,0.117011341603593,0.0776535503077771,0.0780660778355978,0.0671370340851278,0.0930533582574522,0.0662501952091259,0.0750310932185876,0.0648483504253278,0.088826315207971,0.0642548522056812,0.0935716892609727,0.0832596662160046,0.106770638399571,0.0824468905472322,0.0951857635213144,0.0791028951806984,0.11902299850029,0.0771862962265768,0.0647977121996626,0.0595429693018187,0.0710519766219512,0.060559765536736,0.0710398794989953,0.0649262860906807,0.078403960586693,0.0656538055172699,0.0690671830599578,0.0605850079501026,0.0802094516933604,0.0603003654936114,0.0370902477835872,0.0250219919851432,0.0368551289742052,0.00845601654702518,0.00526423442529416,0.00600151510900368,0.00664386839411902,0.00497031382527566,0.11029080921116,0.0736130946741479,0.0706812843899646,0.0759710601611025,0.0751136732995439,0.0805667566205995,0.0888379547086481,0.0811959021123926,0.0719463821638627,0.0558393739444228,0.075950437687656,0.077753486618922,0.114829859168632,0.0793209463975406,0.0749276531083235
