"Age","Levin","Verity","Salje","Modi1","Modi2","Modi3","Levin_p25","Levin_m25","Verity_p25","Verity_m25","Salje_p25","Salje_m25","Verity_Germany","Verity_Spain","Verity_Italy","Verity_France","Verity_Sweden","Verity_China","Verity_Japan","Verity_Colombia","Verity_Brazil","Verity_USA","Salje_Germany","Salje_Spain","Salje_Italy","Salje_France","Salje_Sweden","Salje_China","Salje_Japan","Salje_Colombia","Salje_Brazil","Salje_USA","Modi1_Germany","Modi2_Germany","Modi3_Germany","Modi1_Spain","Modi2_Spain","Modi3_Spain","Modi1_Italy","Modi2_Italy","Modi3_Italy","Modi1_France","Modi2_France","Modi3_France","Modi1_Sweden","Modi2_Sweden","Modi3_Sweden","Modi1_China","Modi2_China","Modi3_China","Modi1_Japan","Modi2_Japan","Modi3_Japan","Modi1_Colombia","Modi2_Colombia","Modi3_Colombia","Modi1_Brazil","Modi2_Brazil","Modi3_Brazil","Modi1_USA","Modi2_USA","Modi3_USA","Levin_Germany","Levin_Spain","Levin_Italy","Levin_France","Levin_Sweden","Levin_China","Levin_Japan","Levin_Colombia","Levin_Brazil","Levin_USA"
0,5.36738256685455e-06,7.7570256207644e-06,3.07070689024838e-06,7.74002972987979e-07,3.81915381776382e-08,2.60128963447839e-07,6.70922820856819e-06,4.02553692514091e-06,9.69628202595549e-06,5.8177692155733e-06,3.83838361281048e-06,2.30303016768629e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,8.96561689328937e-06,7.7570256207644e-06,3.63454042596147e-06,3.07070689024838e-06,3.07070689024838e-06,3.07070689024838e-06,3.07070689024838e-06,6.17364508571518e-06,3.07070689024838e-06,5.74335228641374e-06,6.88027763473318e-06,4.79429715465017e-06,1.05049429911106e-06,5.82291552785446e-08,3.69254527651026e-07,7.74002972987979e-07,3.81915381776382e-08,2.60128963447839e-07,7.74002972987979e-07,3.81915381776382e-08,2.60128963447839e-07,8.64926855551984e-07,4.45220996440769e-08,2.95468575948546e-07,8.64926855551984e-07,4.45220996440769e-08,2.95468575948546e-07,1.90838611411656e-06,1.32788696779362e-07,7.32292764615445e-07,7.74002972987979e-07,3.81915381776382e-08,2.60128963447839e-07,1.78040283507019e-06,1.20650966189082e-07,6.76251319061373e-07,2.19261403267362e-06,1.60850241638868e-07,8.58693111437902e-07,1.44568729739485e-06,9.04981894589933e-08,5.32571928714393e-07,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,1.40450576587328e-05,7.7570256207644e-06,1.30641467668105e-05,1.6233362056212e-05,1.03625139592248e-05
0.5,5.69643403958386e-06,8.33945561455924e-06,3.26125831423531e-06,8.29641751203438e-07,4.20336839628783e-08,2.81686042496992e-07,7.12054254947983e-06,4.2723255296879e-06,1.0424319518199e-05,6.25459171091943e-06,4.07657289279413e-06,2.44594373567648e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,8.33945561455924e-06,7.7570256207644e-06,7.7570256207644e-06,9.6387929851083e-06,7.7570256207644e-06,3.86008030275804e-06,3.07070689024838e-06,3.07070689024838e-06,3.26125831423531e-06,3.22222477210968e-06,6.47827123872016e-06,3.07070689024838e-06,6.09975359588691e-06,7.30723036869024e-06,5.09180524724482e-06,1.12600850430747e-06,6.40871257664299e-08,3.99854922687108e-07,8.18202882917422e-07,4.12355122231478e-08,2.77236242928129e-07,8.29641751203438e-07,4.20336839628783e-08,2.81686042496992e-07,9.27101647081367e-07,4.90011126836116e-08,3.19954274749019e-07,9.27101647081367e-07,4.90011126836116e-08,3.19954274749019e-07,2.04556940082009e-06,1.46147507552714e-07,7.92978406093823e-07,7.74002972987979e-07,3.81915381776382e-08,2.60128963447839e-07,1.90838611411656e-06,1.32788696779362e-07,7.32292764615445e-07,2.31782458888128e-06,1.73670462664932e-07,9.15164727864085e-07,1.54960973402083e-06,9.96024898824132e-08,5.76706557225139e-07,7.98495027812428e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,1.50996194514806e-05,7.7570256207644e-06,1.40450576587328e-05,1.74523157083076e-05,1.11405749372387e-05
1,6.04565826325029e-06,8.96561689328937e-06,3.46363432665779e-06,8.89280092404241e-07,4.62623573649526e-08,3.05029572585552e-07,7.55707282906286e-06,4.53424369743772e-06,1.12070211166117e-05,6.72421266996703e-06,4.32954290832224e-06,2.59772574499334e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,8.96561689328937e-06,7.7570256207644e-06,8.21957204491405e-06,1.03625139592248e-05,7.7570256207644e-06,4.09961596170688e-06,3.10790496773615e-06,3.14555365709222e-06,3.46363432665779e-06,3.42217857450004e-06,6.88027763473318e-06,3.07070689024838e-06,6.47827123872016e-06,7.66779101771858e-06,5.40777507934042e-06,1.2069510066315e-06,7.05344199028002e-08,4.32991195027989e-07,8.77018947359848e-07,4.53838879380372e-08,3.00211014844637e-07,8.89280092404241e-07,4.62623573649526e-08,3.05029572585552e-07,9.93745839320079e-07,5.39307234705279e-08,3.46469121467585e-07,9.93745839320079e-07,5.39307234705279e-08,3.46469121467585e-07,2.19261403267362e-06,1.60850241638868e-07,8.58693111437902e-07,7.74002972987979e-07,3.81915381776382e-08,2.60128963447839e-07,2.01736566238486e-06,1.43372332993577e-07,7.8045171169933e-07,2.48444013525995e-06,1.91142061557994e-07,9.91005103807144e-07,1.63810113917021e-06,1.0754109116786e-07,6.14633438268296e-07,8.58449381044044e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,1.6233362056212e-05,7.7570256207644e-06,1.4882555369148e-05,1.84933546958618e-05,1.19770559943848e-05
1.5,6.41629194370107e-06,9.6387929851083e-06,3.67856869737568e-06,9.53205502976884e-07,5.09164438418649e-08,3.30307598228684e-07,8.02036492962633e-06,4.8122189577758e-06,1.20484912313854e-05,7.22909473883123e-06,4.5982108717196e-06,2.75892652303176e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,9.6387929851083e-06,7.7570256207644e-06,8.83673196279553e-06,1.11405749372387e-05,7.7570256207644e-06,4.35401590518035e-06,3.30076470276943e-06,3.34074966570172e-06,3.67856869737568e-06,3.63454042596147e-06,7.30723036869024e-06,3.07070689024838e-06,6.79792855925691e-06,8.1436125638514e-06,5.67461091059677e-06,1.29371201623803e-06,7.76303248355472e-08,4.68873494696158e-07,9.40062972261375e-07,4.99495986184474e-08,3.25089723054035e-07,9.53205502976884e-07,5.09164438418649e-08,3.30307598228684e-07,1.06518071268112e-06,5.93562630472125e-08,3.75181273088736e-07,1.06518071268112e-06,5.93562630472125e-08,3.75181273088736e-07,2.31782458888128e-06,1.73670462664932e-07,9.15164727864085e-07,8.06921730546106e-07,4.04524968548329e-08,2.72856736924497e-07,2.16238288400561e-06,1.57795878920665e-07,8.4512832064035e-07,2.66303274859537e-06,2.10371338545511e-07,1.07313042763779e-06,1.75585513903527e-06,1.18359941884186e-07,6.65568564597121e-07,9.22905358388801e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,1.72013928566901e-05,7.7570256207644e-06,1.6e-05,1.98831618050159e-05,1.28763435550469e-05
2,6.80964760397653e-06,1.03625139592248e-05,3.90684073002871e-06,1.0217261565464e-06,5.60387408071381e-08,3.5768043249971e-07,8.51205950497067e-06,5.1072357029824e-06,1.2953142449031e-05,7.77188546941863e-06,4.88355091253589e-06,2.93013054752153e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,1.03625139592248e-05,7.7570256207644e-06,9.50023083386804e-06,1.19770559943848e-05,7.7570256207644e-06,4.62420253010003e-06,3.50559226750897e-06,3.54805848049121e-06,3.90684073002871e-06,3.90684073002871e-06,7.66779101771858e-06,3.07070689024838e-06,7.21977115594092e-06,8.54544281787032e-06,6.02674650291142e-06,1.38670979332442e-06,8.54400921192424e-08,5.07729387001452e-07,1.00763888223534e-06,5.49746290038085e-08,3.52030148161092e-07,1.0217261565464e-06,5.60387408071381e-08,3.5768043249971e-07,1.14175064264335e-06,6.53276228503633e-08,4.06272821890287e-07,1.14175064264335e-06,6.53276228503633e-08,4.06272821890287e-07,2.48444013525995e-06,1.91142061557994e-07,9.91005103807144e-07,8.64926855551984e-07,4.45220996440769e-08,2.95468575948546e-07,2.31782458888128e-06,1.73670462664932e-07,9.15164727864085e-07,2.81510685132482e-06,2.27138531620405e-07,1.14370443024432e-06,1.88207382044694e-06,1.30267190807662e-07,7.20724722410082e-07,9.92200960651701e-06,7.7570256207644e-06,7.7570256207644e-06,8.1014118575776e-06,7.98495027812428e-06,1.84933546958618e-05,7.7570256207644e-06,1.72013928566901e-05,2.10707575957713e-05,1.38431533947348e-05
2.5,7.22711823234079e-06,1.11405749372387e-05,4.14927808761606e-06,1.09517237962945e-06,6.16763511804321e-08,3.87321673734568e-07,9.03389779042599e-06,5.42033867425559e-06,1.39257186715483e-05,8.355431202929e-06,5.18659760952008e-06,3.11195856571205e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,1.11405749372387e-05,7.7570256207644e-06,1.02135479809467e-05,1.28763435550469e-05,8.21957204491405e-06,4.91115547234038e-06,3.72313032059137e-06,3.76823175655136e-06,4.14927808761606e-06,4.14927808761606e-06,8.1436125638514e-06,3.26125831423531e-06,7.57601630522079e-06,9.07572667806875e-06,6.40073372129214e-06,1.48639266449238e-06,9.40355377464804e-08,5.49805295758774e-07,1.08007244934883e-06,6.0505187583033e-08,3.81203146165658e-07,1.09517237962945e-06,6.16763511804321e-08,3.87321673734568e-07,1.22382475992763e-06,7.18997134958572e-08,4.39940950271413e-07,1.22382475992763e-06,7.18997134958572e-08,4.39940950271413e-07,2.66303274859537e-06,2.10371338545511e-07,1.07313042763779e-06,9.27101647081367e-07,4.90011126836116e-08,3.19954274749019e-07,2.45018536995852e-06,1.87512491712435e-07,9.75350178044505e-07,3.01746925976496e-06,2.49989126112616e-07,1.2384840598744e-06,2.01736566238486e-06,1.43372332993577e-07,7.8045171169933e-07,1.06669956715478e-05,7.7570256207644e-06,7.7570256207644e-06,8.70969981337701e-06,8.70969981337701e-06,1.98831618050159e-05,7.7570256207644e-06,1.82273764906975e-05,2.26571301970491e-05,1.4882555369148e-05
3,7.67018221526353e-06,1.19770559943848e-05,4.40675979341606e-06,1.17389824408275e-06,6.78811165301463e-08,4.19419306491331e-07,9.58772776907941e-06,5.75263666144764e-06,1.4971319992981e-05,8.98279199578863e-06,5.50844974177007e-06,3.30506984506204e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,1.19770559943848e-05,7.7570256207644e-06,1.09804239689855e-05,1.38431533947348e-05,8.83673196279553e-06,5.21591515866782e-06,3.95416760602248e-06,4.00206779261325e-06,4.40675979341606e-06,4.40675979341606e-06,8.54544281787032e-06,3.46363432665779e-06,8.04614281010854e-06,9.63891708076379e-06,6.79792855925691e-06,1.59324118405493e-06,1.03495702543586e-07,5.95368066106303e-07,1.15771286361489e-06,6.65921315122363e-08,4.12793732030296e-07,1.17389824408275e-06,6.78811165301463e-08,4.19419306491331e-07,1.31179873001373e-06,7.91329697183003e-08,4.76399181282131e-07,1.31179873001373e-06,7.91329697183003e-08,4.76399181282131e-07,2.81510685132482e-06,2.27138531620405e-07,1.14370443024432e-06,1.00763888223534e-06,5.49746290038085e-08,3.52030148161092e-07,2.62631559832136e-06,2.06376626651484e-07,1.05617816663151e-06,3.1897836747621e-06,2.69913969359489e-07,1.31993247939422e-06,2.16238288400561e-06,1.57795878920665e-07,8.4512832064035e-07,1.14679184126251e-05,8.21957204491405e-06,8.33945561455924e-06,9.36366057827136e-06,9.36366057827136e-06,2.10707575957713e-05,7.7570256207644e-06,1.95970022351193e-05,2.43653750313547e-05,1.57699925267335e-05
3.5,8.14040857282196e-06,1.28763435550469e-05,4.68021941812671e-06,1.25828327402377e-06,7.47100937910412e-08,4.54176893747036e-07,1.01755107160275e-05,6.10530642961647e-06,1.60954294438086e-05,9.65725766628517e-06,5.85027427265839e-06,3.51016456359504e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,1.28763435550469e-05,7.7570256207644e-06,1.18048802202323e-05,1.4882555369148e-05,9.50023083386804e-06,5.539586579094e-06,4.19954181298549e-06,4.25041442549978e-06,4.68021941812671e-06,4.68021941812671e-06,9.07572667806875e-06,3.67856869737568e-06,8.44316361425191e-06,1.01145301430908e-05,7.13335873021937e-06,1.70777045070769e-06,1.13907579003465e-07,6.4470665683562e-07,1.24093441637868e-06,7.32914342800337e-08,4.47002253043974e-07,1.25828327402377e-06,7.47100937910412e-08,4.54176893747036e-07,1.40609666057696e-06,8.70939061085167e-08,5.15878732785091e-07,1.40609666057696e-06,8.70939061085167e-08,5.15878732785091e-07,3.01746925976496e-06,2.49989126112616e-07,1.2384840598744e-06,1.08007244934883e-06,6.0505187583033e-08,3.81203146165658e-07,2.7762929458811e-06,2.22825429844615e-07,1.12563731042719e-06,3.41907952068147e-06,2.97067859180015e-07,1.42931625742765e-06,2.2858670721051e-06,1.70372658564594e-07,9.00707853908282e-07,1.23289777898206e-05,8.83673196279553e-06,8.96561689328937e-06,1.00667234581852e-05,1.00667234581852e-05,2.26571301970491e-05,7.7570256207644e-06,2.10707575957713e-05,2.58264749912489e-05,1.69540908788472e-05
4,8.63946251506315e-06,1.38431533947348e-05,4.97064846478286e-06,1.34873427545257e-06,8.22260799406174e-08,4.91814867892757e-07,1.07993281438289e-05,6.47959688629737e-06,1.73039417434185e-05,1.03823650460511e-05,6.21331058097858e-06,3.72798634858715e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,1.38431533947348e-05,7.7570256207644e-06,1.26912401021714e-05,1.6e-05,1.02135479809467e-05,5.88334329332404e-06,4.46014261311339e-06,4.51417210419115e-06,4.97064846478286e-06,4.97064846478286e-06,9.63891708076379e-06,3.90684073002871e-06,8.96710058138656e-06,1.07421830593334e-05,7.57601630522079e-06,1.83053259073285e-06,1.25366911239298e-07,6.98133972966479e-07,1.33013830471296e-06,8.06647004209118e-08,4.8404565942325e-07,1.34873427545257e-06,8.22260799406174e-08,4.91814867892757e-07,1.5071731460397e-06,9.58557287593487e-08,5.58629983837743e-07,1.5071731460397e-06,9.58557287593487e-08,5.58629983837743e-07,3.1897836747621e-06,2.69913969359489e-07,1.31993247939422e-06,1.15771286361489e-06,6.65921315122363e-08,4.12793732030296e-07,2.97586523806585e-06,2.45242117597273e-07,1.2189197045133e-06,3.66485817243242e-06,3.26953485094581e-07,1.54776474981856e-06,2.45018536995852e-06,1.87512491712435e-07,9.75350178044505e-07,1.32546891138106e-05,9.50023083386804e-06,9.6387929851083e-06,1.08225752457041e-05,1.08225752457041e-05,2.43653750313547e-05,8.1014118575776e-06,2.23304137031092e-05,2.77801607696569e-05,1.82273764906975e-05
4.5,9.16911133900328e-06,1.4882555369148e-05,5.27909996372295e-06,1.44568729739485e-06,9.04981894589933e-08,5.32571928714393e-07,1.14613891737541e-05,6.87683350425246e-06,1.86031942114351e-05,1.1161916526861e-05,6.59887495465368e-06,3.95932497279221e-06,7.87016288827238e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,7.7570256207644e-06,1.4882555369148e-05,7.7570256207644e-06,1.3644151598837e-05,1.72013928566901e-05,1.09804239689855e-05,6.24843168584603e-06,4.73691488623802e-06,4.79429715465017e-06,5.27909996372295e-06,5.27909996372295e-06,1.01145301430908e-05,4.19954181298549e-06,9.52355023721108e-06,1.12722345734189e-05,8.04614281010854e-06,1.96211941970687e-06,1.37979075415201e-07,7.55988850188388e-07,1.42575456552151e-06,8.87797320098025e-08,5.24158880209133e-07,1.44568729739485e-06,9.04981894589933e-08,5.32571928714393e-07,1.61551545909449e-06,1.05499008444258e-07,6.04924062594689e-07,1.61551545909449e-06,1.05499008444258e-07,6.04924062594689e-07,3.41907952068147e-06,2.97067859180015e-07,1.42931625742765e-06,1.24093441637868e-06,7.32914342800337e-08,4.47002253043974e-07,3.1458038301321e-06,2.64788610785364e-07,1.29908148185926e-06,3.87414212453451e-06,3.53012606308494e-07,1.64955289287628e-06,2.62631559832136e-06,2.06376626651484e-07,1.05617816663151e-06,1.44577435400192e-05,1.03625139592248e-05,1.03625139592248e-05,1.1635179553253e-05,1.1635179553253e-05,2.62055911633524e-05,8.83673196279553e-06,2.40135043450709e-05,2.98864006428593e-05,1.95970022351193e-05
