"IFRs","Cases","Result"
"Levin","Germany_Levin1",0.0131685967975521
"Verity","Germany_Levin1",0.0101003556024722
"Salje","Germany_Levin1",0.00845350446894885
"Levin_p25","Germany_Levin1",0.0164607459969401
"Levin_m25","Germany_Levin1",0.00987644759816405
"Verity_p25","Germany_Levin1",0.0126254445030903
"Verity_m25","Germany_Levin1",0.00757526670185418
"Salje_p25","Germany_Levin1",0.0105668805861861
"Salje_m25","Germany_Levin1",0.00634012835171164
"Verity_Germany","Germany_Levin1",0.00749202944668681
"Verity_Spain","Germany_Levin1",0.00691461312836317
"Verity_Italy","Germany_Levin1",0.00715637726415517
"Salje_Germany","Germany_Levin1",0.00922478934004745
"Salje_Spain","Germany_Levin1",0.00878412260988602
"Salje_Italy","Germany_Levin1",0.00921593138144321
"Levin","Germany_Levin2",0.0179659566432028
"Verity","Germany_Levin2",0.0134967946770538
"Salje","Germany_Levin2",0.0115414852689363
"Levin_p25","Germany_Levin2",0.0224574458040035
"Levin_m25","Germany_Levin2",0.0134744674824021
"Verity_p25","Germany_Levin2",0.0168709933463173
"Verity_m25","Germany_Levin2",0.0101225960077904
"Salje_p25","Germany_Levin2",0.0144268565861703
"Salje_m25","Germany_Levin2",0.00865611395170219
"Verity_Germany","Germany_Levin2",0.0100635326957052
"Verity_Spain","Germany_Levin2",0.00932608468779083
"Verity_Italy","Germany_Levin2",0.00965612233162006
"Salje_Germany","Germany_Levin2",0.0125662804658691
"Salje_Spain","Germany_Levin2",0.0120076077834602
"Salje_Italy","Germany_Levin2",0.0126019155454737
"Levin","Germany_Levin3",0.00651052354310289
"Verity","Germany_Levin3",0.00536268648998987
"Salje","Germany_Levin3",0.00416836371162774
"Levin_p25","Germany_Levin3",0.00813815442887862
"Levin_m25","Germany_Levin3",0.00488289265732717
"Verity_p25","Germany_Levin3",0.00670335811248734
"Verity_m25","Germany_Levin3",0.0040220148674924
"Salje_p25","Germany_Levin3",0.00521045463953467
"Salje_m25","Germany_Levin3",0.0031262727837208
"Verity_Germany","Germany_Levin3",0.00391289970929633
"Verity_Spain","Germany_Levin3",0.00356228284813184
"Verity_Italy","Germany_Levin3",0.00368122302696321
"Salje_Germany","Germany_Levin3",0.00458480041715337
"Salje_Spain","Germany_Levin3",0.00431183568345334
"Salje_Italy","Germany_Levin3",0.00451834771112962
"Levin","Germany_PrItaly",0.0184395372107283
"Verity","Germany_PrItaly",0.014017172177986
"Salje","Germany_PrItaly",0.0118416382104173
"Levin_p25","Germany_PrItaly",0.0230494215134104
"Levin_m25","Germany_PrItaly",0.0138296529080462
"Verity_p25","Germany_PrItaly",0.0175214652224825
"Verity_m25","Germany_PrItaly",0.0105128791334895
"Salje_p25","Germany_PrItaly",0.0148020477630216
