Country,date,Year,Week,Sex,Age,Deaths,Baseline,Exposure,Excess,lp,up
Spain,2014-01-06,2014,1,m,0,13,15.578064498011367,1179368.56,-2.5780644980113667,8,24
Spain,2014-01-13,2014,2,m,0,18,15.58383327649357,1179368.56,2.4161667235064304,8,26
Spain,2014-01-20,2014,3,m,0,25,15.589604191236358,1179368.56,9.410395808763642,8,24
Spain,2014-01-27,2014,4,m,0,15,15.595377243030818,1179368.56,-0.5953772430308177,8,25
Spain,2014-02-03,2014,5,m,0,15,15.601152432668304,1179368.56,-0.6011524326683038,9,24
Spain,2014-02-10,2014,6,m,0,17,15.606929760940544,1179368.56,1.3930702390594565,8,25
Spain,2014-02-17,2014,7,m,0,24,15.612709228639451,1179368.56,8.387290771360549,8,24
Spain,2014-02-24,2014,8,m,0,11,15.618490836557338,1179368.56,-4.6184908365573385,8,25
Spain,2014-03-03,2014,9,m,0,18,15.624274585486704,1179368.56,2.3757254145132958,8,24.024999999999864
Spain,2014-03-10,2014,10,m,0,18,15.63006047622048,1179368.56,2.3699395237795198,9,24
Spain,2014-03-17,2014,11,m,0,10,15.635848509551725,1179368.56,-5.635848509551725,9,25
Spain,2014-03-24,2014,12,m,0,11,15.641638686273897,1179368.56,-4.641638686273897,8,24
Spain,2014-03-31,2014,13,m,0,17,15.647431007180698,1179368.56,1.352568992819302,8,24
Spain,2014-04-07,2014,14,m,0,15,15.653225473066207,1179368.56,-0.6532254730662075,8,24
Spain,2014-04-14,2014,15,m,0,16,15.659022084724711,1179368.56,0.340977915275289,8,24.024999999999864
Spain,2014-04-21,2014,16,m,0,12,15.664820629551505,1179368.56,-3.664820629551505,8,25
Spain,2014-04-28,2014,17,m,0,15,15.670620040712999,1179368.56,-0.6706200407129987,8,24
Spain,2014-05-05,2014,18,m,0,19,15.676419036237801,1179368.56,3.3235809637621987,9,24
Spain,2014-05-12,2014,19,m,0,13,15.6822163322582,1179368.56,-2.6822163322582,8,24
Spain,2014-05-19,2014,20,m,0,9,15.688010643010697,1179368.56,-6.688010643010697,9,24
Spain,2014-05-26,2014,21,m,0,18,15.693800680838285,1179368.56,2.306199319161715,9,24
Spain,2014-06-02,2014,22,m,0,15,15.699585156193063,1179368.56,-0.6995851561930628,8,24
Spain,2014-06-09,2014,23,m,0,20,15.705362777640524,1179368.56,4.294637222359476,8,24
Spain,2014-06-16,2014,24,m,0,15,15.711132251864536,1179368.56,-0.7111322518645355,8,24
Spain,2014-06-23,2014,25,m,0,20,15.716892283673523,1179368.56,4.283107716326477,8.975000000000044,23
Spain,2014-06-30,2014,26,m,0,15,15.722641576007707,1179368.56,-0.7226415760077067,8,25
