Sex,Age,IFR
f,0,0.0023052400032319135
f,5,2.13740950690035e-4
f,10,4.6843358828794354e-5
f,15,1.257574921999258e-4
f,20,1.878202968956982e-4
f,25,2.5947453010548906e-4
f,30,6.08450153152733e-4
f,35,6.400823518265016e-4
f,40,4.866886593022028e-4
f,45,8.009863001490734e-4
f,50,0.0015722848904417186
f,55,0.0034233531581112737
f,60,0.006137186462537661
f,65,0.008442303169441716
f,70,0.017858660574365026
f,75,0.044800164442120476
f,80,0.10013225140676424
f,85,0.18372324318131486
f,90,0.4715124340350589
m,0,0.0035490506642097148
m,5,5.824588672996119e-5
m,10,4.179185341573959e-5
m,15,8.084778527225023e-5
m,20,2.3551010400475105e-4
m,25,2.4504379044263096e-4
m,30,7.88377562686512e-4
m,35,4.591704402260094e-4
m,40,7.774537223522387e-4
m,45,0.0019674563253682586
m,50,0.00232659385412596
m,55,0.005825625613072311
m,60,0.011892773509201442
m,65,0.020639818307516964
m,70,0.03955066186291499
m,75,0.07870527962274605
m,80,0.14210023057292062
m,85,0.2963612950737831
m,90,0.5079962479076139
